"","X","nome","sigla","ano","v2x_polyarchy","v2x_polyarchy_sd","c3","c5","c4","c1","c2"
"1",1,"Afghanistan","AFG",2021,0.16,0.015,0.218,0.103,1,0.106,0
"2",2,"Albania","ALB",2021,0.478,0.06,0.646,0.8,1,0.467,1
"3",3,"Algeria","DZA",2021,0.284,0.033,0.517,0.304,1,0.266,1
"4",4,"Angola","AGO",2021,0.351,0.044,0.581,0.604,1,0.26,1
"5",5,"Argentina","ARG",2021,0.819,0.051,0.904,0.915,1,0.886,1
"6",6,"Armenia","ARM",2021,0.739,0.059,0.837,0.882,1,0.81,1
"7",7,"Australia","AUS",2021,0.854,0.046,0.932,0.895,1,0.941,1
"8",8,"Austria","AUT",2021,0.825,0.052,0.929,0.859,1,0.931,1
"9",9,"Azerbaijan","AZE",2021,0.194,0.017,0.153,0.3,1,0.07,1
"10",10,"Baden","BDN",1871,0.246,0.032,0.586,0.554,0.45,0.601,0
"11",11,"Bahrain","BHR",2021,0.122,0.016,0.103,0.121,1,0.222,0
"12",12,"Bangladesh","BGD",2021,0.267,0.028,0.409,0.486,1,0.153,0.93
"13",13,"Barbados","BRB",2021,0.797,0.056,0.929,0.88,1,0.858,1
"14",14,"Bavaria","BVR",1871,0.167,0.027,0.463,0.127,0.325,0.547,0
"15",15,"Belarus","BLR",2021,0.183,0.017,0.08,0.215,1,0.136,1
"16",16,"Belgium","BEL",2021,0.885,0.044,0.968,0.883,1,0.971,1
"17",17,"Benin","BEN",2021,0.421,0.055,0.678,0.52,1,0.508,1
"18",18,"Bhutan","BTN",2021,0.573,0.059,0.716,0.594,1,0.859,1
"19",19,"Bolivia","BOL",2021,0.619,0.062,0.767,0.792,1,0.716,1
"20",20,"Bosnia and Herzegovina","BIH",2021,0.526,0.06,0.631,0.854,1,0.558,1
"21",21,"Botswana","BWA",2021,0.595,0.064,0.812,0.888,1,0.589,0.925
"22",22,"Brazil","BRA",2021,0.661,0.056,0.659,0.875,1,0.855,1
"23",23,"Brunswick","BRW",1867,0.185,0.022,0.66,0.583,0.5,0,0
"24",24,"Bulgaria","BGR",2021,0.656,0.063,0.774,0.85,1,0.759,1
"25",25,"Burkina Faso","BFA",2021,0.664,0.067,0.842,0.864,1,0.692,1
"26",26,"Burma/Myanmar","MMR",2021,0.126,0.015,0.066,0.237,1,0.049,0
"27",27,"Burundi","BDI",2021,0.184,0.017,0.139,0.252,1,0.074,0.949
"28",28,"Cambodia","KHM",2021,0.195,0.019,0.184,0.193,1,0.142,1
"29",29,"Cameroon","CMR",2021,0.299,0.031,0.586,0.515,1,0.127,1
"30",30,"Canada","CAN",2021,0.857,0.044,0.941,0.883,1,0.954,1
"31",31,"Cape Verde","CPV",2021,0.747,0.058,0.81,0.907,1,0.853,1
"32",32,"Central African Republic","CAF",2021,0.333,0.036,0.7,0.584,1,0.143,1
"33",33,"Chad","TCD",2021,0.209,0.02,0.517,0.274,1,0.021,0.5
"34",34,"Chile","CHL",2021,0.834,0.045,0.898,0.867,1,0.969,1
"35",35,"China","CHN",2021,0.078,0.006,0.074,0.044,1,0,0
"36",36,"Colombia","COL",2021,0.645,0.058,0.723,0.85,1,0.786,0.977
"37",37,"Comoros","COM",2021,0.32,0.031,0.661,0.686,1,0.096,0.932
"38",38,"Costa Rica","CRI",2021,0.9,0.036,0.951,0.934,1,0.961,1
"39",39,"Croatia","HRV",2021,0.751,0.056,0.816,0.839,1,0.922,1
"40",40,"Cuba","CUB",2021,0.181,0.015,0.086,0.022,1,0.327,1
"41",41,"Cyprus","CYP",2021,0.816,0.048,0.876,0.903,1,0.917,1
"42",42,"Czech Republic","CZE",2021,0.805,0.051,0.864,0.878,1,0.922,1
"43",43,"Democratic Republic of the Congo","COD",2021,0.358,0.043,0.707,0.62,1,0.205,1
"44",44,"Denmark","DNK",2021,0.908,0.038,0.986,0.925,1,0.952,1
"45",45,"Djibouti","DJI",2021,0.252,0.028,0.344,0.389,1,0.19,1
"46",46,"Dominican Republic","DOM",2021,0.683,0.071,0.941,0.879,1,0.629,1
"47",47,"Ecuador","ECU",2021,0.644,0.062,0.785,0.754,1,0.793,1
"48",48,"Egypt","EGY",2021,0.184,0.016,0.166,0.149,1,0.132,0.976
"49",49,"El Salvador","SLV",2021,0.467,0.057,0.516,0.83,1,0.508,1
"50",50,"Equatorial Guinea","GNQ",2021,0.174,0.014,0.121,0.189,1,0.052,1
"51",51,"Eritrea","ERI",2021,0.069,0.003,0.027,0.021,1,0,0
"52",52,"Estonia","EST",2021,0.891,0.04,0.974,0.903,1,0.957,1
"53",53,"Eswatini","SWZ",2021,0.129,0.016,0.117,0.028,1,0.309,0
"54",54,"Ethiopia","ETH",2021,0.314,0.037,0.373,0.484,1,0.3,1
"55",55,"Fiji","FJI",2021,0.403,0.05,0.481,0.682,1,0.417,1
"56",56,"Finland","FIN",2021,0.868,0.043,0.962,0.864,1,0.967,1
"57",57,"France","FRA",2021,0.874,0.043,0.972,0.877,1,0.956,1
"58",58,"Gabon","GAB",2021,0.377,0.046,0.751,0.659,1,0.219,1
"59",59,"Georgia","GEO",2021,0.648,0.065,0.866,0.905,1,0.603,1
"60",60,"German Democratic Republic","DDR",1990,0.672,0.053,0.933,0.663,1,0.738,1
"61",61,"Germany","DEU",2021,0.87,0.043,0.949,0.879,1,0.968,1
"62",62,"Ghana","GHA",2021,0.663,0.067,0.833,0.911,1,0.651,1
"63",63,"Greece","GRC",2021,0.797,0.052,0.849,0.865,1,0.953,1
"64",64,"Guatemala","GTM",2021,0.502,0.062,0.701,0.771,1,0.517,1
"65",65,"Guinea","GIN",2021,0.279,0.03,0.643,0.42,1,0.1,0
"66",66,"Guinea-Bissau","GNB",2021,0.557,0.066,0.751,0.745,1,0.629,1
"67",67,"Guyana","GUY",2021,0.537,0.063,0.809,0.882,1,0.481,0.903
"68",68,"Haiti","HTI",2021,0.353,0.042,0.709,0.637,1,0.239,0.5
"69",69,"Hanover","HVR",1866,0.13,0.022,0.381,0.361,0.4,0.077,0
"70",70,"Hesse-Darmstadt","HDM",1871,0.188,0.026,0.471,0.401,0.1,0.562,0
"71",71,"Honduras","HND",2021,0.393,0.044,0.742,0.806,1,0.202,1
"72",72,"Hong Kong","HKG",2021,0.267,0.023,0.271,0.416,1,0.674,0
"73",73,"Hungary","HUN",2021,0.462,0.055,0.521,0.695,1,0.607,1
"74",74,"Iceland","ISL",2021,0.832,0.053,0.922,0.9,1,0.899,1
"75",75,"India","IND",2021,0.444,0.055,0.598,0.614,1,0.552,0.996
"76",76,"Indonesia","IDN",2021,0.585,0.065,0.765,0.712,1,0.72,1
"77",77,"Iran","IRN",2021,0.182,0.021,0.272,0.104,1,0.265,0.5
"78",78,"Iraq","IRQ",2021,0.373,0.047,0.625,0.588,1,0.359,1
"79",79,"Ireland","IRL",2021,0.885,0.043,0.973,0.912,1,0.939,1
"80",80,"Israel","ISR",2021,0.739,0.057,0.869,0.803,1,0.879,1
"81",81,"Italy","ITA",2021,0.851,0.044,0.925,0.903,1,0.943,0.99
"82",82,"Ivory Coast","CIV",2021,0.431,0.054,0.657,0.71,1,0.385,1
"83",83,"Jamaica","JAM",2021,0.806,0.056,0.933,0.882,1,0.865,1
"84",84,"Japan","JPN",2021,0.835,0.046,0.884,0.919,1,0.934,1
"85",85,"Jordan","JOR",2021,0.258,0.025,0.548,0.506,1,0.516,0
"86",86,"Kazakhstan","KAZ",2021,0.257,0.03,0.33,0.281,1,0.334,0.979
"87",87,"Kenya","KEN",2021,0.471,0.057,0.854,0.727,1,0.365,0.982
"88",88,"Kosovo","XKX",2021,0.601,0.065,0.759,0.812,1,0.659,1
"89",89,"Kuwait","KWT",2021,0.298,0.026,0.595,0.097,1,0.685,0.77
"90",90,"Kyrgyzstan","KGZ",2021,0.421,0.051,0.637,0.705,1,0.374,1
"91",91,"Laos","LAO",2021,0.133,0.014,0.043,0.047,1,0.221,0.5
"92",92,"Latvia","LVA",2021,0.826,0.056,0.953,0.884,1,0.887,1
"93",93,"Lebanon","LBN",2021,0.455,0.057,0.736,0.735,1,0.372,1
"94",94,"Lesotho","LSO",2021,0.623,0.066,0.776,0.847,1,0.679,0.99
"95",95,"Liberia","LBR",2021,0.624,0.069,0.858,0.872,1,0.595,1
"96",96,"Libya","LBY",2021,0.272,0.018,0.625,0.551,1,0,1
"97",97,"Lithuania","LTU",2021,0.797,0.055,0.929,0.844,1,0.892,1
"98",98,"Luxembourg","LUX",2021,0.878,0.043,0.962,0.897,1,0.956,1
"99",99,"Madagascar","MDG",2021,0.481,0.061,0.674,0.848,1,0.42,1
"100",100,"Malawi","MWI",2021,0.618,0.067,0.822,0.804,1,0.662,1
"101",101,"Malaysia","MYS",2021,0.413,0.054,0.52,0.692,1,0.466,1
"102",102,"Maldives","MDV",2021,0.596,0.067,0.826,0.745,1,0.657,1
"103",103,"Mali","MLI",2021,0.254,0.015,0.785,0.719,1,0,0
"104",104,"Malta","MLT",2021,0.777,0.057,0.826,0.907,1,0.891,1
"105",105,"Mauritania","MRT",2021,0.385,0.054,0.64,0.504,1,0.417,1
"106",106,"Mauritius","MUS",2021,0.593,0.071,0.809,0.85,1,0.584,1
"107",107,"Mecklenburg Schwerin","MCL",1867,0.071,0.017,0.281,0.524,0,0,0
"108",108,"Mexico","MEX",2021,0.628,0.063,0.765,0.773,1,0.772,1
"109",109,"Modena","MDN",1859,0.038,0.011,0.039,0.052,0,0.202,0
"110",110,"Moldova","MDA",2021,0.738,0.063,0.898,0.864,1,0.78,1
"111",111,"Mongolia","MNG",2021,0.628,0.067,0.845,0.822,1,0.646,1
"112",112,"Montenegro","MNE",2021,0.496,0.063,0.749,0.865,1,0.394,1
"113",113,"Morocco","MAR",2021,0.261,0.024,0.608,0.543,1,0.462,0
"114",114,"Mozambique","MOZ",2021,0.356,0.039,0.637,0.725,1,0.18,1
"115",115,"Namibia","NAM",2021,0.634,0.069,0.848,0.841,1,0.642,1
"116",116,"Nepal","NPL",2021,0.589,0.065,0.766,0.852,1,0.613,1
"117",117,"Netherlands","NLD",2021,0.862,0.046,0.936,0.896,1,0.953,1
"118",118,"New Zealand","NZL",2021,0.887,0.039,0.941,0.913,1,0.963,1
"119",119,"Nicaragua","NIC",2021,0.233,0.027,0.227,0.284,1,0.225,1
"120",120,"Niger","NER",2021,0.522,0.064,0.793,0.789,1,0.468,1
"121",121,"Nigeria","NGA",2021,0.491,0.06,0.801,0.764,1,0.406,1
"122",122,"North Korea","PRK",2021,0.085,0.011,0.012,0.026,1,0.136,0
"123",123,"North Macedonia","MKD",2021,0.586,0.064,0.744,0.808,1,0.656,1
"124",124,"Norway","NOR",2021,0.898,0.04,0.972,0.911,1,0.966,1
"125",125,"Oldenburg","OLD",1867,0.252,0.027,0.775,0.619,0.3,0.48,0
"126",126,"Oman","OMN",2021,0.176,0.016,0.143,0.048,1,0.703,0
"127",127,"Pakistan","PAK",2021,0.363,0.045,0.595,0.605,1,0.298,1
"128",128,"Palestine/British Mandate","PSB",1948,0.082,0.016,0.416,0.233,0,0,0
"129",129,"Palestine/Gaza","PSG",2021,0.134,0.017,0.269,0.3,1,0,0
"130",130,"Palestine/West Bank","PSE",2021,0.253,0.02,0.481,0.55,1,0,1
"131",131,"Panama","PAN",2021,0.75,0.057,0.817,0.882,1,0.872,1
"132",132,"Papal States","PPS",1870,0.026,0.011,0.132,0.056,0,0,0
"133",133,"Papua New Guinea","PNG",2021,0.425,0.049,0.807,0.83,1,0.218,1
"134",134,"Paraguay","PRY",2021,0.57,0.065,0.748,0.8,1,0.621,1
"135",135,"Parma","PRM",1859,0.041,0.009,0.084,0.042,0,0.212,0
"136",136,"Peru","PER",2021,0.759,0.056,0.835,0.86,1,0.871,1
"137",137,"Philippines","PHL",2021,0.429,0.054,0.596,0.684,1,0.454,1
"138",138,"Piedmont-Sardinia","SPD",1861,0.217,0.027,0.635,0.587,NA,0.483,0
"139",139,"Poland","POL",2021,0.585,0.061,0.625,0.831,1,0.74,1
"140",140,"Portugal","PRT",2021,0.883,0.041,0.962,0.896,1,0.963,1
"141",141,"Qatar","QAT",2021,0.065,0.006,0.071,0.04,0.035,0.08,0
"142",142,"Republic of the Congo","COG",2021,0.244,0.023,0.351,0.468,1,0.069,1
"143",143,"Republic of Vietnam","VDR",1975,0.318,0.039,0.474,0.341,1,0.445,1
"144",144,"Romania","ROU",2021,0.782,0.055,0.915,0.849,1,0.861,1
"145",145,"Russia","RUS",2021,0.257,0.028,0.275,0.322,1,0.321,1
"146",146,"Rwanda","RWA",2021,0.236,0.027,0.243,0.25,1,0.355,0.916
"147",147,"Sao Tome and Principe","STP",2021,0.688,0.063,0.799,0.812,1,0.827,1
"148",148,"Saudi Arabia","SAU",2021,0.016,0.006,0.097,0.027,0,0,0
"149",149,"Saxe-Weimar-Eisenach","SAX",1867,0.072,0.018,0.161,0.24,0.15,0.068,0
"150",150,"Saxony","SXN",1867,0.146,0.025,0.278,0.305,0.15,0.495,0
"151",151,"Senegal","SEN",2021,0.708,0.067,0.928,0.781,1,0.776,1
"152",152,"Serbia","SRB",2021,0.336,0.041,0.397,0.614,1,0.353,1
"153",153,"Seychelles","SYC",2021,0.667,0.062,0.733,0.799,1,0.866,1
"154",154,"Sierra Leone","SLE",2021,0.553,0.067,0.856,0.802,1,0.507,0.975
"155",155,"Singapore","SGP",2021,0.404,0.047,0.321,0.586,1,0.775,1
"156",156,"Slovakia","SVK",2021,0.846,0.048,0.948,0.874,1,0.935,1
"157",157,"Slovenia","SVN",2021,0.703,0.056,0.727,0.815,1,0.933,1
"158",158,"Solomon Islands","SLB",2021,0.626,0.069,0.823,0.86,1,0.625,1
"159",159,"Somalia","SOM",2021,0.163,0.019,0.547,0.513,0.002,0,0.5
"160",160,"Somaliland","SML",2021,0.413,0.05,0.7,0.652,1,0.476,0.75
"161",161,"South Africa","ZAF",2021,0.715,0.063,0.873,0.887,1,0.739,1
"162",162,"South Korea","KOR",2021,0.861,0.046,0.953,0.87,1,0.959,1
"163",163,"South Sudan","SSD",2021,0.136,0.014,0.108,0.215,1,0,0.5
"164",164,"South Yemen","YMD",1990,0.128,0.017,0.056,0.047,1,0.404,0
"165",165,"Spain","ESP",2021,0.856,0.043,0.893,0.912,1,0.968,1
"166",166,"Sri Lanka","LKA",2021,0.573,0.064,0.643,0.726,1,0.81,1
"167",167,"Sudan","SDN",2021,0.184,0.019,0.489,0.328,1,0,0
"168",168,"Suriname","SUR",2021,0.76,0.057,0.849,0.891,1,0.859,1
"169",169,"Sweden","SWE",2021,0.907,0.036,0.971,0.924,1,0.952,1
"170",170,"Switzerland","CHE",2021,0.885,0.042,0.979,0.91,1,0.935,1
"171",171,"Syria","SYR",2021,0.139,0.006,0.043,0.064,1,0,1
"172",172,"Taiwan","TWN",2021,0.813,0.049,0.86,0.899,1,0.933,1
"173",173,"Tajikistan","TJK",2021,0.184,0.015,0.167,0.176,1,0.1,1
"174",174,"Tanzania","TZA",2021,0.36,0.043,0.607,0.611,1,0.315,0.91
"175",175,"Thailand","THA",2021,0.198,0.021,0.41,0.513,0.994,0.139,0
"176",176,"The Gambia","GMB",2021,0.499,0.06,0.725,0.711,1,0.524,0.955
"177",177,"Timor-Leste","TLS",2021,0.68,0.066,0.807,0.831,1,0.786,1
"178",178,"Togo","TGO",2021,0.368,0.048,0.608,0.587,1,0.312,1
"179",179,"Trinidad and Tobago","TTO",2021,0.775,0.061,0.914,0.883,1,0.827,1
"180",180,"Tunisia","TUN",2021,0.556,0.04,0.86,0.858,1,0.445,1
"181",181,"Turkey","TUR",2021,0.279,0.031,0.19,0.533,1,0.359,1
"182",182,"Turkmenistan","TKM",2021,0.15,0.009,0.041,0.056,1,0.086,1
"183",183,"Tuscany","TSC",1861,0.125,0.022,0.528,0.473,NA,0,0
"184",184,"Two Sicilies","TWS",1860,0.011,0.007,0.046,0.039,0,0,0
"185",185,"Uganda","UGA",2021,0.284,0.031,0.57,0.433,1,0.137,0.986
"186",186,"Ukraine","UKR",2021,0.517,0.062,0.715,0.693,1,0.59,1
"187",187,"United Arab Emirates","ARE",2021,0.1,0.018,0.054,0.038,0.36,0.516,0
"188",188,"United Kingdom","GBR",2021,0.863,0.043,0.942,0.897,1,0.943,1
"189",189,"United States of America","USA",2021,0.821,0.05,0.924,0.942,1,0.842,1
"190",190,"Uruguay","URY",2021,0.841,0.046,0.903,0.897,1,0.946,1
"191",191,"Uzbekistan","UZB",2021,0.216,0.021,0.24,0.137,1,0.288,1
"192",192,"Vanuatu","VUT",2021,0.777,0.059,0.887,0.883,1,0.864,1
"193",193,"Venezuela","VEN",2021,0.219,0.021,0.268,0.31,1,0.12,1
"194",194,"Vietnam","VNM",2021,0.22,0.021,0.182,0.044,1,0.52,1
"195",195,"WÃ¼rtemberg","WRG",1871,0.199,0.026,0.456,0.616,0.5,0.264,0
"196",196,"Yemen","YEM",2021,0.112,0.013,0.141,0.247,1,0,0
"197",197,"Zambia","ZMB",2021,0.379,0.047,0.692,0.626,1,0.299,0.967
"198",198,"Zanzibar","ZZB",2021,0.263,0.028,0.49,0.475,1,0.091,0.925
"199",199,"Zimbabwe","ZWE",2021,0.281,0.031,0.454,0.502,1,0.174,0.944
